foldingPattern
"['0', '+Y', '+Y', '-X', '-X', '-X', '-X', '-Y']"
"['0', '+Y', '+Y', '-X', '-X', '-X', '+X', '+Y']"
"['0', '+Y', '+Y', '-X', '-X', '-X', '+X', '-X']"
"['0', '+Y', '+Y', '-X', '-X', '-X', '+X', '+X']"
"['0', '+Y', '+Y', '-X', '-X', '-X', '+X', '-Y']"
"['0', '+Y', '+Y', '-X', '-X', '-X', '-Y', '+Y']"
"['0', '+Y', '+Y', '-X', '-X', '-X', '-Y', '-X']"
"['0', '+Y', '+Y', '-X', '-X', '-X', '-Y', '+X']"
"['0', '+Y', '+Y', '-X', '-X', '-X', '-Y', '-Y']"
"['0', '+Y', '+Y', '-X', '-X', '+X', '+Y', '+Y']"
"['0', '+Y', '+Y', '-X', '-X', '+X', '+Y', '-X']"
"['0', '+Y', '+Y', '-X', '-X', '+X', '+Y', '+X']"
"['0', '+Y', '+Y', '-X', '-X', '+X', '+Y', '-Y']"
"['0', '+Y', '+Y', '-X', '-X', '+X', '-X', '+Y']"
"['0', '+Y', '+Y', '-X', '-X', '+X', '-X', '-X']"
"['0', '+Y', '+Y', '-X', '-X', '+X', '-X', '+X']"
"['0', '+Y', '+Y', '-X', '-X', '+X', '-X', '-Y']"
